Sentence,Contains Digit
"The cat sleeps on the mat.",false
"2 apples are on the table.",true
"Sunsets are beautiful.",false
"London is the capital of England.",false
"He runs 5 miles every day.",true
"Books are a treasure trove of knowledge.",false
"The Eiffel Tower is in Paris.",false
"I have 3 siblings.",true
"Music soothes the soul.",false
"Water boils at 100 degrees Celsius.",true
"Elephants are the largest land animals.",false
"Jupiter is the largest planet in our solar system.",false
"The cake was divided into 8 pieces.",true
"April has 30 days.",true
"Shakespeare wrote 'Hamlet'.",false
"Rome is known as the Eternal City.",false
"There are 7 continents on Earth.",true
"Chocolate is made from cocoa beans.",false
"The guitar has 6 strings.",true
"The Great Wall of China is thousands of miles long.",false
"Bees are important for pollination.",false
"A dozen equals 12 items.",true
"Mount Everest is over 29,000 feet tall.",true
"The human body has 206 bones.",true
"Paris is known as the City of Lights.",false
"An octagon has 8 sides.",true
"Light travels faster than sound.",false
"The Andromeda Galaxy is 2.5 million light-years away.",true
"Birds are descendants of dinosaurs.",false
"Pi is approximately 3.14.",true
"Whales are mammals, not fish.",false
"The moon orbits the Earth.",false
"A century is 100 years.",true
"Diamonds are made of carbon.",false
"Venus is the hottest planet in our solar system.",false
"The human heart has 4 chambers.",true
"Gold has an atomic number of 79.",true
"The Amazon River is over 4,000 miles long.",true
"Trees produce oxygen through photosynthesis.",false
"A piano typically has 88 keys.",true
"Saturn has 82 moons.",true
"Berlin was once divided by a wall.",false
"The speed of light is approximately 186,282 miles per second.",true
"New York City has 5 boroughs.",true
"Antarctica is the driest continent.",false
"A hexagon has 6 sides.",true
"Mars is known as the Red Planet.",false
"An adult human has 32 teeth.",true
"The Pacific Ocean is the largest ocean.",false
"Leonardo da Vinci painted the Mona Lisa.",false
"Mercury is the closest planet to the Sun.",false
"World War II ended in 1945.",true
"The Grand Canyon is over a mile deep.",false
"Neptune is about 2.8 billion miles from the Sun.",true
"Thomas Edison invented the lightbulb.",false
"DNA is the blueprint of life.",false
"The Sahara Desert is over 3.6 million square miles.",true
"Basketball is played with 5 players per team.",true
"The Titanic sank in 1912.",true
"The Milky Way is a spiral galaxy.",false
"Oxygen is the most abundant element in the Earth's crust.",false
"Canada has 10 provinces.",true
"Albert Einstein developed the theory of relativity.",false
"The human brain weighs about 3 pounds.",true
"Water covers about 71% of the Earth's surface.",true
"An elephant's pregnancy lasts about 22 months.",true
"Rabbits are known for their long ears.",false
