text,class
The cat sleeps on the windowsill!,True
A red bicycle leaned against the fence.,False
He read the book in one evening?,True
She baked cookies for the school fair?,True
The clock struck midnight.,False
Rain pattered against the rooftop.,False
The train arrived ten minutes late.,False
They planted a garden in the backyard!,True
The museum closed at six o'clock!,True
A bird sang outside the window?,True
She painted the room a bright blue!,True
The library was quiet and peaceful!,True
He finished the race in record time?,True
The coffee was too hot to drink?,True
They watched the sunset from the hill!,True
The old tree stood for centuries.,False
The dog chased its tail in circles.,False
She lost her keys in the park?,True
The bookshop smelled of old paper!,True
Stars twinkled in the night sky!,True
He played the piano beautifully.,False
She wore a dress with polka dots?,True
The river flowed quietly under the bridge.,False
The car broke down on the highway.,False
They laughed at the old joke.,False
The wind rustled the autumn leaves!,True
She collected seashells at the beach.,False
The baby slept soundly in the crib!,True
He wrote a letter to his friend.,False
The apples on the tree were ripe.,False
They watched a movie on Friday night?,True
The snow covered the mountains?,True
She made a cup of tea.,False
The concert ended at ten o'clock.,False
A butterfly landed on the flower!,True
He missed the bus this morning!,True
The painting hung in the gallery.,False
They danced until midnight.,False
The sun shone through the clouds.,False
She read the map to find the way?,True
The airplane took off on time!,True
He fixed the leaky faucet.,False
The cat chased a mouse in the garden!,True
They had a picnic in the park.,False
Rainbows appeared after the rain!,True
The cake was decorated with strawberries.,False
He jogged every morning!,True
The room was filled with laughter!,True
She knitted a warm scarf!,True
The boat sailed across the lake.,False
They played chess in the evening?,True
The frog jumped into the pond?,True
The roses in the garden bloomed.,False
He found a rare coin in the attic.,False
The children built a sandcastle!,True
She listened to the radio while working!,True
The squirrel gathered nuts for winter.,False
He studied for the exam all night?,True
The parade marched down the street.,False
She arranged the flowers in a vase?,True
The leaves turned red in autumn.,False
The dog barked at the mailman.,False
He made pancakes for breakfast.,False
The stars were hidden by clouds?,True
They took a walk in the forest.,False
The ice cream melted in the sun?,True
She wrote a poem about the sea!,True
The horse galloped across the field.,False
The bell rang at the end of class.,False
They shared an umbrella in the rain.,False
The guitar sounded out of tune?,True
He lost his watch at the beach.,False
The candles flickered in the dark?,True
She laughed at the funny story?,True
The river froze in the winter.,False
They saw a deer in the woods?,True
The fireworks lit up the night sky!,True
He drew a picture of his house.,False
The balloons floated up into the sky?,True
She sang a song from her childhood!,True
The clock was running fast.,False
They enjoyed the carnival rides!,True
The kitten purred softly!,True
He forgot his password again.,False
The flowers wilted in the heat?,True
She solved the puzzle quickly!,True
The moon was full and bright.,False
They celebrated their anniversary.,False
The toast burned in the toaster.,False
He caught a fish in the lake.,False
The room was painted yellow?,True
They listened to the thunderstorm!,True
She tied her hair in a ponytail.,False
The car's engine roared to life!,True
The kids played hide and seek.,False
He read the news on his phone.,False
The bridge spanned the wide river!,True
They baked a pie for dessert?,True
The sun set over the ocean!,True
She finished the marathon triumphantly!,True
