text,class
The cat sleeps on the windowsill.,False
A red bicycle leaned against the fence.,False
He read the book in one evening.,False
She baked cookies for the school fair.,False
The clock struck midnight.,False
Rain pattered against the rooftop.,False
The train arrived ten minutes late.,False
They planted a garden in the backyard.,False
The museum closed at six o'clock!,True
A bird sang outside the window.,False
She painted the room a bright blue.,False
The library was quiet and peaceful!,True
He finished the race in record time.,False
The coffee was too hot to drink.,False
They watched the sunset from the hill!,True
The old tree stood for centuries.,False
The dog chased its tail in circles.,False
She lost her keys in the park.,False
The bookshop smelled of old paper!,True
Stars twinkled in the night sky.,False
He played the piano beautifully!,True
She wore a dress with polka dots.,False
The river flowed quietly under the bridge!,True
The car broke down on the highway!,True
They laughed at the old joke.,False
The wind rustled the autumn leaves.,False
She collected seashells at the beach!,True
The baby slept soundly in the crib.,False
He wrote a letter to his friend.,False
The apples on the tree were ripe!,True
They watched a movie on Friday night.,False
The snow covered the mountains.,False
She made a cup of tea.,False
The concert ended at ten o'clock!,True
A butterfly landed on the flower!,True
He missed the bus this morning.,False
The painting hung in the gallery.,False
They danced until midnight!,True
The sun shone through the clouds.,False
She read the map to find the way.,False
The airplane took off on time!,True
He fixed the leaky faucet.,False
The cat chased a mouse in the garden!,True
They had a picnic in the park.,False
Rainbows appeared after the rain.,False
The cake was decorated with strawberries.,False
He jogged every morning.,False
The room was filled with laughter.,False
She knitted a warm scarf.,False
The boat sailed across the lake.,False
They played chess in the evening!,True
The frog jumped into the pond.,False
The roses in the garden bloomed.,False
He found a rare coin in the attic.,False
The children built a sandcastle!,True
She listened to the radio while working.,False
The squirrel gathered nuts for winter.,False
He studied for the exam all night!,True
The parade marched down the street.,False
She arranged the flowers in a vase.,False
The leaves turned red in autumn.,False
The dog barked at the mailman.,False
He made pancakes for breakfast!,True
The stars were hidden by clouds.,False
They took a walk in the forest.,False
The ice cream melted in the sun.,False
She wrote a poem about the sea.,False
The horse galloped across the field!,True
The bell rang at the end of class.,False
They shared an umbrella in the rain!,True
The guitar sounded out of tune.,False
He lost his watch at the beach!,True
The candles flickered in the dark.,False
She laughed at the funny story.,False
The river froze in the winter!,True
They saw a deer in the woods!,True
The fireworks lit up the night sky.,False
He drew a picture of his house.,False
The balloons floated up into the sky!,True
She sang a song from her childhood.,False
The clock was running fast!,True
They enjoyed the carnival rides.,False
The kitten purred softly.,False
He forgot his password again!,True
The flowers wilted in the heat!,True
She solved the puzzle quickly!,True
The moon was full and bright!,True
They celebrated their anniversary.,False
The toast burned in the toaster.,False
He caught a fish in the lake.,False
The room was painted yellow.,False
They listened to the thunderstorm.,False
She tied her hair in a ponytail.,False
The car's engine roared to life.,False
The kids played hide and seek!,True
He read the news on his phone!,True
The bridge spanned the wide river!,True
They baked a pie for dessert!,True
The sun set over the ocean.,False
She finished the marathon triumphantly.,False
