Sentence,Contains Digit
The cat sleeps on the mat.,False
2 apples are on the table.,True
Sunsets are beautiful.,False
London is the capital of England.,False
He runs 5 miles every day.,True
Books are a treasure trove of knowledge.,False
The Eiffel Tower is in Paris.,False
I have 3 siblings.,True
Music soothes the soul.,False
Water boils at 100 degrees Celsius.,True
Elephants are the largest land animals.,False
Jupiter is the largest planet in our solar system.,False
The cake was divided into 8 pieces.,True
April has 30 days.,True
Shakespeare wrote 'Hamlet'.,False
Rome is known as the Eternal City.,False
There are 7 continents on Earth.,True
Chocolate is made from cocoa beans.,False
The guitar has 6 strings.,True
The Great Wall of China is thousands of miles long.,False
Bees are important for pollination.,False
A dozen equals 12 items.,True
"Mount Everest is over 29,000 feet tall.",True
The human body has 206 bones.,True
Paris is known as the City of Lights.,False
An octagon has 8 sides.,True
Light travels faster than sound.,False
The Andromeda Galaxy is 2.5 million light-years away.,True
Birds are descendants of dinosaurs.,False
Pi is approximately 3.14.,True
"Whales are mammals, not fish.",False
The moon orbits the Earth.,False
A century is 100 years.,True
Diamonds are made of carbon.,False
Venus is the hottest planet in our solar system.,False
The human heart has 4 chambers.,True
Gold has an atomic number of 79.,True
"The Amazon River is over 4,000 miles long.",True
Trees produce oxygen through photosynthesis.,False
A piano typically has 88 keys.,True
Saturn has 82 moons.,True
Berlin was once divided by a wall.,False
"The speed of light is approximately 186,282 miles per second.",True
New York City has 5 boroughs.,True
Antarctica is the driest continent.,False
A hexagon has 6 sides.,True
Mars is known as the Red Planet.,False
An adult human has 32 teeth.,True
The Pacific Ocean is the largest ocean.,False
Leonardo da Vinci painted the Mona Lisa.,False
Mercury is the closest planet to the Sun.,False
World War II ended in 1945.,True
The Grand Canyon is over a mile deep.,False
Neptune is about 2.8 billion miles from the Sun.,True
Thomas Edison invented the lightbulb.,False
DNA is the blueprint of life.,False
The Sahara Desert is over 3.6 million square miles.,True
Basketball is played with 5 players per team.,True
The Titanic sank in 1912.,True
The Milky Way is a spiral galaxy.,False
Oxygen is the most abundant element in the Earth's crust.,False
Canada has 10 provinces.,True
Albert Einstein developed the theory of relativity.,False
The human brain weighs about 3 pounds.,True
Water covers about 71% of the Earth's surface.,True
An elephant's pregnancy lasts about 22 months.,True
Rabbits are known for their long ears.,False
The Great Barrier Reef is off the coast of Australia.,False
An octopus has 3 hearts.,True
1 kilometer equals 0.62 miles.,True
Roses are popular flowers.,False
