Sentence,Is_All_Lowercase
"today is a beautiful day.",true
"my favorite color is blue.",true
"i love to read books in my free time.",true
"going to the park is always fun.",true
"i enjoy cooking new recipes.",true
"summer is my favorite season.",true
"the cat sleeps on the sofa.",true
"listening to music is relaxing.",true
"i like to watch movies on weekends.",true
"gardening is a peaceful hobby.",true
"The SUN is shining brightly today.",false
"I love EATING ICE cream in summer.",false
"Learning new languages is INTERESTING.",false
"My dog loves to PLAY in the park.",false
"Reading BOOKS can be VERY educational.",false
"Travelling to new places is EXCITING.",false
"Art and CULTURE fascinate me.",false
"science and TECHNOLOGY are advancing rapidly.",false
"Good FRIENDS are hard to find.",false
"Healthy EATING IS important for WELL-BEING.",false
"Exercise is good for PHYSICAL health.",false
"Watching the STARS at night is magical.",false
"Music brings JOY to many people.",false
"Autumn leaves look beautiful.",false
"LEARNING TO COOK can be fun.",false
"Photography is an ART.",false
"Children LOVE to play games.",false
"Tea tastes BETTER with cookies.",false
"A good BOOK can be a great companion.",false
"SPRING is a season of renewal.",false
"A clean HOME feels welcoming.",false
"History teaches us IMPORTANT lessons.",false
"a SMILE CAN BRIGHTEN SOMEONE's DAY.",false
"Fresh FRUIT is delicious.",false
"Taking a WALK is a great way to relax.",false
"EDUCATION is essential for success.",false
"Good COMMUNICATION skills are crucial.",false
"A balanced DIET is key to good health.",false
"creativity comes in many FORMS.",false
"Travel broadens the MIND.",false
"Hard WORK pays off.",false
"Good manners show RESPECT.",false
"Sleep is important for HEALTH.",false
"LIFE IS full OF SURPRISES.",false
"Kindness IS A virtue to CHERISH.",false
"Time management is a useful SKILL.",false
"Nature is full of BEAUTY.",false
